a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
choking on it	ᎤᏴᏥᏅᏗᎦ	[ù:hyvhjinv:tga]  (he is) (3rd/present continuous) /ced/
choking on it	ᎠᎩᏴᏥᏅᏗᎦ	[à:kiyvhjinv:tga]  (he is) (1st/present continuous) /ced/
choking on it	ᎤᏴᏥᏅᏗᏨᎢ	[ù:hyvhjinv:tsv̌:ʔi]  (he is) (3rd/remote past) /ced/
choking on it	ᎤᏴᏥᏅᏗᎪᎢ	[ù:hyvhjinv:tgó:ʔi]  (he is) (3rd/habitual) /ced/
choking on it	ᏣᏴᏥᏅᏗᎩ	[chayvhjinv:tgi]  (he is) (2nd/immediate) /ced/
choking on it	ᎤᏴᏥᏅᏥᏗ	[u:hyvhjinv:tsdi]  (he is) (3rd/deverbal) /ced/
choosing him or it	ᏥᏯᏑᏰᎠ	[ji:yà:su:yé:ʔa] (an.)  (he is) (1st/present continuous) /ced/
choosing him or it	ᎦᏑᏰᎠ	[gà:su:yé:ʔa] (in.)  (he is) (1st/present continuous) /ced/
choosing him or it	ᎯᏯᏑᏯᎩ	[hi:yà:su:yagi] (in.)  (he is) (2nd/immediate) /ced/
choosing him or it	ᎭᏑᏯᎩ	[ha:su:ya:gi] (an.)  (he is) (2nd/immediate) /ced/
choosing him or it	ᎠᏑᏰᎠ	[à:su:yé:ʔa]  (he is) (3rd/present continuous) /ced/
choosing him or it	ᎤᏑᏰᏒᎢ	[ù:su:yé:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
choosing him or it	ᎠᏑᏰᏍᎪᎢ	[à:su:yé:sgó:ʔi]  (he is) (3rd/habitual) /ced/
choosing him or it	ᎤᏑᏰᏍᏗ	[u:su:yè:sdi]  (he is) (3rd/deverbal) /ced/
chopping it	ᎦᎷᏯᏍᎦ	[galûysga]  (he is) (3rd/present continuous) /ced/
chopping it	ᏥᎷᏯᏍᎦ	[jilûysga]  (he is) (1st/present continuous) /ced/
chopping it	ᎤᎷᏴᎢ	[ù:lû:hyv̌:ʔi]  (he is) (3rd/remote past) /ced/
chopping it	ᎦᎷᏯᏍᎪᎢ	[galûysgó:ʔi]  (he is) (3rd/habitual) /ced/
chopping it	ᎯᎷᏯ	[hilù:hya]  (he is) (2nd/immediate) /ced/
chopping it	ᎤᎷᏯᏍᏗ	[u:lùysdi]  (he is) (3rd/deverbal) /ced/
chopping it up	ᎠᎬᎭᎷᏯᏍᎦ	[à:gv:hálûysga]  (he is) (3rd/present continuous) /ced/
chopping it up	ᏥᎬᎠᎷᏯᏍᎦ	[jigvʔalûysga]  (he is) (1st/present continuous) /ced/
chopping it up	ᎤᎬᎭᎷᏴᎢ	[ù:gv:halû:hyv̌:ʔi]  (he is) (3rd/remote past) /ced/
chopping it up	ᎠᎬᎭᎷᏯᏍᎪᎢ	[à:gv:halûysgó:ʔi]  (he is) (3rd/habitual) /ced/
chopping it up	ᎯᎬᎭᎷᏯ	[higv:halù:hya]  (he is) (2nd/immediate) /ced/
chopping it up	ᎤᎬᎭᎷᏯᏍᏗ	[u:gv:halùysdi]  (he is) (3rd/deverbal) /ced/
Christmas	ᏓᏂᏍᏓᏲᎯᎲᎢ	[Dà:ni:sdayo:hihv̋:ʔi]  (single noun) /ced/
church	ᏗᎦᎳᏫᏍᏗᎢ	[digalà:wisdi̋:ʔi]  (single noun) /ced/
church	ᏧᏂᎳᏫᏍᏗᎢ	[ju:ni:là:wisdi̋:ʔi]  (single noun) /ced/
church services	ᏓᏂᎳᏫᎦ	[dà:ni:lâ:wì:ga]  (they are having) (3rd/present continuous) /ced/
church services	ᏙᏥᎳᏫᎦ	[dò:ji:lâ:wì:ga]  (they are having) (1st/present continuous) /ced/
church services	ᏚᏂᎳᏫᏨᎢ	[dù:ni:lâ:wì:jv̌:ʔi]  (they are having) (3rd/remote past) /ced/
church services	ᏓᏂᎳᏫᎪᎢ	[dà:ni:lâ:wì:gó:ʔi]  (they are having) (3rd/habitual) /ced/
church services	ᏗᏥᎳᏫᎩ	[dì:jǐ:lâ:wì:gi]  (they are having) (2nd/immediate) /ced/
church services	ᏧᏂᎳᏫᏍᏗ	[ju:ni:là:wisdi]  (they are having) (3rd/deverbal) /ced/
cigarette	ᎪᎦᏍᏗ	[gő:ksdi]  (single noun) /ced/
cigarette	ᏗᎪᎦᏍᏗ	[digő:ksdi]  (plural noun) /ced/
circling it	ᎠᏕᏲᎭ	[à:dé:yoha]  (he is) (3rd/present continuous) /ced/
circling it	ᎦᏕᏲᎭ	[ga:de:yoha]  (he is) (1st/present continuous) /ced/
circling it	ᎤᏕᏲᎸᎢ	[ù:dě:yô:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
circling it	ᎠᏕᏲᎰᎢ	[à:dé:yohoi]  (he is) (3rd/habitual) /ced/
circling it	ᎭᏕᏯᎦ	[ha:de:yaga]  (he is) (2nd/immediate) /ced/
circling it	ᎤᏕᏯᏍᏗ	[u:děysdi]  (he is) (3rd/deverbal) /ced/
clapping his hands	ᏓᏏᏛᏂᎭ	[dà:sihtv́:niha]  (he is) (3rd/present continuous) /ced/
clapping his hands	ᏕᎦᏏᏛᏂᎭ	[de:gâ:sihtv́:niha]  (he is) (1st/present continuous) /ced/
clapping his hands	ᏚᏏᏛᏂᎸᎢ	[dù:sihtv̌:nî:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
clapping his hands	ᏓᏏᏛᏂᎰᎢ	[dà:sihtv́:nihó:ʔi]  (he is) (3rd/habitual) /ced/
clapping his hands	ᏔᏏᏛᏂᎦ	[tasíhtv:nì:ga]  (he is) (2nd/immediate) /ced/
clapping his hands	ᏧᏏᏛᏂᏍᏗ	[ju:sihtv̌:nî:sdi]  (he is) (3rd/deverbal) /ced/
claw	ᎤᏑᎦᏢᎢ	[ú:suhgahlv̋:ʔi]  (his) (single noun) /ced/
claw	ᏚᏑᎦᏢᎢ	[dú:suhgahlv̋:ʔi]  (his) (plural noun) /ced/
clawing him	ᏕᎧᏄᎪᏍᎦ	[de:kánugosga]  (he is) (3rd/present continuous) /ced/
clawing him	ᏕᏥᏄᎪᏍᎦ	[de:jî:nu:gǒ:sga]  (he is) (1st/present continuous) /ced/
clawing him	ᏚᏄᎪᏒᎢ	[dù:hnu:gǒ:sv́:ʔi]  (he is) (3rd/remote past) /ced/
clawing him	ᏕᎧᏄᎪᏍᎪᎢ	[de:kánu:gǒ:sgó:ʔi]  (he is) (3rd/habitual) /ced/
clawing him	ᏘᏄᎪᎳ	[tî:nu:gǒ:la]  (he is) (2nd/immediate) /ced/
clawing him	ᏧᏄᎪᏍᏗ	[ju:hnu:gǒ:sdi]  (he is) (3rd/deverbal) /ced/
clay	ᎦᏓᏆᎳ	[ga:dagwála]  (single noun) /ced/
clean	ᏧᎾᏓᏅᎦᎸᏓ	[ju:nadanv:galv̋:da]  (plural adj/adv) /ced/
clean	ᏧᏓᏅᎦᎸᏓ	[ju:danv:galv̋:da]  (plural adj/adv) /ced/
clean	ᎤᏓᏅᎦᎸᏓ	[u:danv:galv̋:da] (adj/adv) /ced/
cleaning him or it	ᏥᏅᎦᎵᎠ	[ji:nv:galí:ʔa] (an.)  (he is) (1st/present continuous) /ced/
cleaning him or it	ᏥᏅᎦᎵᎠ	[jinv:galí:ʔa] (in.)  (he is) (1st/present continuous) /ced/
cleaning him or it	ᎯᏅᎦᎳ	[hi:nv:gala] (in.)  (he is) (2nd/immediate) /ced/
cleaning him or it	ᎯᏅᎦᎳ	[hinv:gala] (an.)  (he is) (2nd/immediate) /ced/
cleaning him or it	ᎦᏅᎦᎵᎭ	[ganv:galíha]  (he is) (3rd/present continuous) /ced/
cleaning him or it	ᎤᏅᎦᎸᎲᎢ	[ù:nv:galv́:ʔhvi]  (he is) (3rd/remote past) /ced/
cleaning him or it	ᎦᏅᎦᎵᏍᎪᎢ	[ganv:galǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
cleaning him or it	ᎤᏅᎦᎸᏗ	[u:nv:gahldi]  (he is) (3rd/deverbal) /ced/
climbing around	ᎦᎵᏙᎭ	[gáʔli:dó:ha]  (he is) (3rd/present continuous) /ced/
climbing around	ᏥᎵᏙᎭ	[jíʔli:dó:ha]  (he is) (1st/present continuous) /ced/
climbing around	ᎤᎵᏙᎸᎢ	[ù:lí:dò:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
climbing around	ᎦᎵᏙᎰᎢ	[gáʔli:dó:hó:ʔi]  (he is) (3rd/habitual) /ced/
climbing around	ᎯᎵᏓ	[hiʔlǐ:da]  (he is) (2nd/immediate) /ced/
climbing around	ᎤᎵᏓᏍᏗ	[u:lǐ:dâ:sdi]  (he is) (3rd/deverbal) /ced/
climbing it	ᎦᎴᎦ	[gáʔlè:ga]  (he is) (3rd/present continuous) /ced/
climbing it	ᏥᎴᎦ	[jíʔlè:ga]  (he is) (1st/present continuous) /ced/
climbing it	ᎤᎸᏒᎢ	[ù:lv̂:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
climbing it	ᎦᎴᎪᎢ	[gáʔlè:gó:ʔi]  (he is) (3rd/habitual) /ced/
climbing it	ᎯᎷᎦ	[hiʔlù:ga]  (he is) (2nd/immediate) /ced/
climbing it	ᎤᎸᏍᏗ	[u:lv̀:sdi]  (he is) (3rd/deverbal) /ced/
clinic	ᎨᏥᎪᎵᏰᏗᎢ	[ge:jigo:lǐ:yê:di̋:ʔi]  (single noun) /ced/
clock	ᏩᏥ	[wǎ:ji]  (single noun) /ced/
close	ᎾᎥ	[naʔv] (adj/adv) /ced/
closing his eyes	ᏓᎦᏔᏍᏗᎭ	[dà:ktâ:sdiha]  (he is) (3rd/present continuous) /ced/
closing his eyes	ᏕᎦᎦᏔᏍᏗᎭ	[de:gágà:tâ:sdiha]  (he is) (1st/present continuous) /ced/
closing his eyes	ᏚᎦᏔᏍᏔᏅᎢ	[dù:ktâ:stanv̌:ʔi]  (he is) (3rd/remote past) /ced/
closing his eyes	ᏓᎦᏔᏍᏗᏍᎪᎢ	[dà:ktâ:sdi:sgó:ʔi]  (he is) (3rd/habitual) /ced/
closing his eyes	ᏔᎦᏔᏍᏓ	[táktà:sda]  (he is) (2nd/immediate) /ced/
closing his eyes	ᏧᎦᏔᏍᏙᏗ	[ju:ktà:sdóhdi]  (he is) (3rd/deverbal) /ced/
closing it	ᎯᏍᏚᎲᎦ	[hì:sdù:hv̀:ga] (in.)  (he is) (2nd/immediate) /ced/
closing it	ᎯᏍᏚᎲᎦ	[hisdù:hv̀:ga] (an.)  (he is) (2nd/immediate) /ced/
closing it	ᎠᏍᏚᎲᏍᎦ	[à:sdû:hvsga]  (he is) (3rd/present continuous) /ced/
closing it	ᏥᏍᏚᎲᏍᎦ	[jì:sdû:hvsga]  (he is) (1st/present continuous) /ced/
closing it	ᎤᏍᏚᏅᎢ	[ù:sdû:hnv̌:ʔi]  (he is) (3rd/remote past) /ced/
closing it	ᎠᏍᏚᎲᏍᎪᎢ	[à:sdû:hvsgó:ʔi]  (he is) (3rd/habitual) /ced/
closing it	ᎤᏍᏚᏗ	[u:sdù:di]  (he is) (3rd/deverbal) /ced/
clothes	ᏗᎿᏬ	[di:hnawo]  (single noun) /ced/
clothes	ᏧᎿᏬ	[ju:hnawo]  (his) (single noun) /ced/
clothing	ᏗᎿᏬ	[di:hnawo]  (single noun) /ced/
cloud	ᎤᎶᎩᎵ	[u:lò:gí:li]  (single noun) /ced/
cloudy	ᎤᎶᎩᎳ	[ù:lô:gi:la]  (it is) (3rd/present continuous) /ced/
cloudy	ᎤᎶᎩᎸᎢ	[ù:lô:gilv̌:ʔi]  (it is) (3rd/remote past) /ced/
cloudy	ᎤᎶᎩᎶᎢ	[ù:lô:giló:ʔi]  (it is) (3rd/habitual) /ced/
coal	ᏥᏃᏍᎦ	[chino:sga]  (single noun) /ced/
coat	ᎤᏄᏩ	[ù:hnû:wa]  (he is) (3rd/present continuous) /ced/
coat	ᎠᏆᏄᏩ	[à:gwahnû:wa]  (he is) (1st/present continuous) /ced/
coat	ᎤᏄᏮᎢ	[ù:hnû:wv̌:ʔi]  (he is) (3rd/remote past) /ced/
coat	ᎤᏄᏬᎢ	[ù:hnû:wó:ʔi]  (he is) (3rd/habitual) /ced/
coat	ᏣᏄᏪᏍᏗ	[jahnû:wé:sdi]  (he is) (2nd/future progressive) /ced/
coat	ᎦᏌᎴᏂ	[gà:salě:ni]  (single noun) /ced/
coat	ᏗᎦᏌᎴᏂ	[digà:salě:ni]  (plural noun) /ced/
coat off	ᎠᎿᏪᎠ	[à:hnawé:ʔa]  (he is) (3rd/present continuous) /ced/
coat off	ᎦᏂᏪᎠ	[ganì:wé:ʔa]  (he is) (1st/present continuous) /ced/
coat off	ᎤᎿᏪᏒᎢ	[ù:hnawé:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
coat off	ᎠᎿᏪᏍᎪᎢ	[à:hnawé:sgó:ʔi]  (he is) (3rd/habitual) /ced/
coat off	ᎭᎿᏩᎩ	[hahnawagi]  (he is) (2nd/immediate) /ced/
coat off	ᎤᎿᏪᏍᏗ	[u:hnawè:sdi]  (he is) (3rd/deverbal) /ced/
cobra	ᏆᎾᏓᏲᎭ	[kwandáyǒ:ha]  (single noun) /ced/
coffee	ᎧᏫ	[kǎ:hwi]  (single noun) /ced/
cold	ᎤᏴᏜ	[u:hyv:dla]  (single noun) /ced/
cold	ᎤᏴᏜ	[u:hyv̋:dla] (adj/adv) /ced/
cold	ᎤᏴᏜ	[ù:hyv:dla]  (weather) (it is) (3rd/present continuous) /ced/
cold	ᎤᏴᏢᎢ	[ù:hyv:dlv̌:ʔi]  (weather) (it is) (3rd/remote past) /ced/
cold	ᎤᏴᏠᎢ	[ù:hyv:dloí:ʔ]  (weather) (it is) (3rd/habitual) /ced/
cold	ᎧᎾᏬᎦ	[kanawô:ga]  (he is) (3rd/present continuous) /ced/
cold	ᏥᎾᏬᎦ	[jì:nawô:ga]  (he is) (1st/present continuous) /ced/
cold	ᎤᎿᏬᏨᎢ	[ù:hnawô:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
cold	ᎧᎾᏬᎪᎢ	[kanawô:gó:ʔi]  (he is) (3rd/habitual) /ced/
cold	ᎯᎿᏬᎩ	[hihnawò:gi]  (he is) (2nd/immediate) /ced/
cold	ᎤᎿᏬᏍᏗ	[u:hnawosdi]  (he is) (3rd/deverbal) /ced/
collar	ᎦᏯᏢᎢ	[ga:hyáʔdlv̋:ʔi]  (single noun) /ced/
collar	ᏕᎦᏯᏢᎢ	[de:gá:hyáʔdlv̋:ʔi]  (plural noun) /ced/
collecting from him	ᎧᏂᏢᏍᎦ	[kanihlv́sga]  (he is) (3rd/present continuous) /ced/
collecting from him	ᏥᏂᏢᏍᎦ	[jì:nihlv́sga]  (he is) (1st/present continuous) /ced/
collecting from him	ᎤᏂᏝᏅᎢ	[ù:hnihlánv́:ʔi]  (he is) (3rd/remote past) /ced/
collecting from him	ᎧᏂᏢᏍᎪᎢ	[kanihlv́sgóʔi]  (he is) (3rd/habitual) /ced/
collecting from him	ᎯᏂᏢᎦ	[hì:nihlv̀:ga]  (he is) (2nd/immediate) /ced/
collecting from him	ᎤᏂᏢᏗ	[u:hnihldi]  (he is) (3rd/deverbal) /ced/
colored	ᎤᎾᎵᏑᏫᏓ	[u:nalsu:hwida]  (plural adj/adv) /ced/
colored	ᏧᎵᏑᏫᏓ	[julsǔ:hwida]  (plural adj/adv) /ced/
colored	ᎤᎵᏑᏫᏓ	[ulsǔ:hwi:da] (adj/adv) /ced/
comb	ᎠᎵᏔᏬᏍᏗ	[ahltawó:sdi]  (single noun) /ced/
comb	ᏗᎵᏔᏬᏍᏗ	[dihltawó:sdi]  (plural noun) /ced/
combing his hair	ᎠᎵᏔᏬᎠ	[àhltawó:ʔa]  (he is) (3rd/present continuous) /ced/
combing his hair	ᎦᎵᏔᏬᎠ	[galì:tawó:ʔa]  (he is) (1st/present continuous) /ced/
combing his hair	ᎤᎵᏔᏬᎥᎢ	[ùhltawó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
combing his hair	ᎠᎵᏔᏬᏍᎪᎢ	[àhltawó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
combing his hair	ᎭᎵᏔᏬᏣ	[hahltawǒ:ja]  (he is) (2nd/immediate) /ced/
combing his hair	ᎤᎵᏔᏬᏍᏗ	[uhltawò:sdi]  (he is) (3rd/deverbal) /ced/
combing someone's hair	ᎠᏔᏬᎠ	[à:tawó:ʔa]  (he is) (3rd/present continuous) /ced/
combing someone's hair	ᏥᏔᏬᎠ	[jì:tawó:ʔa]  (he is) (1st/present continuous) /ced/
combing someone's hair	ᎤᏔᏬᎥᎢ	[ù:tawó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
combing someone's hair	ᎠᏔᏬᏍᎪᎢ	[à:tawó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
combing someone's hair	ᎯᏔᏬᏣ	[hì:tawǒ:ja]  (he is) (2nd/immediate) /ced/
combing someone's hair	ᎤᏔᏬᏍᏗ	[u:tawò:sdi]  (he is) (3rd/deverbal) /ced/
come here	ᏄᎳ	[nǔ:la] /ced/
committing a crime	ᎠᏍᎦᏅᎦ	[à:sganv̂:ga]  (he is) (3rd/present continuous) /ced/
committing a crime	ᏥᏍᎦᏅᎦ	[jì:sganv̂:ga]  (he is) (1st/present continuous) /ced/
committing a crime	ᎤᏍᎦᏅᏨᎢ	[ù:sganv̂:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
committing a crime	ᎠᏍᎦᏅᎪᎢ	[à:sganv̂:gó:ʔi]  (he is) (3rd/habitual) /ced/
committing a crime	ᎯᏍᎦᏅᎩ	[hisganv̀:gi]  (he is) (2nd/immediate) /ced/
committing a crime	ᎤᏍᎦᏅᎢᏍᏗ	[u:sganv̀ysdi]  (he is) (3rd/deverbal) /ced/
committing adultery	ᎠᏓᏲᏁᎭ	[à:da:hyó:neha]  (he is) (3rd/present continuous) /ced/
committing adultery	ᎦᏓᏲᏁᎭ	[gadà:yó:neha]  (he is) (1st/present continuous) /ced/
committing adultery	ᎤᏓᏲᏁᎸᎢ	[ù:da:hyó:ne:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
committing adultery	ᎠᏓᏲᏁᎰᎢ	[à:da:hyó:nehó:ʔi]  (he is) (3rd/habitual) /ced/
committing adultery	ᎭᏓᏲᏅᎳ	[hada:hyo:nv̌:la]  (he is) (2nd/immediate) /ced/
committing adultery	ᎤᏓᏲᏁᏗ	[u:da:hyo:néhdi]  (he is) (3rd/deverbal) /ced/
conduit	ᎤᏒᏙᏂ	[u:sv:dő:ni]  (single noun) /ced/
conduit	ᏧᏒᏙᏂ	[ju:sv:dő:ni]  (plural noun) /ced/
confident	ᎤᏬᎯᏳᎭ	[ù:wo:hiyúha]  (he is) (3rd/present continuous) /ced/
confident	ᎠᏉᎯᏳᎭ	[à:gwo:hiyúha]  (he is) (1st/present continuous) /ced/
confident	ᎤᏬᎯᏳᏒᎢ	[ù:wo:hiyú:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
confident	ᎤᏬᎯᏳᏐᎢ	[ù:wo:hiyú:só:ʔi]  (he is) (3rd/habitual) /ced/
confident	ᏦᎯᏳᏎᏍᏗ	[jo:hiyú:sé:sdi]  (he is) (2nd/future progressive) /ced/
confronted with it	ᏚᏠᏍᎦ	[dù:dlo:sga]  (he is) (3rd/present continuous) /ced/
confronted with it	ᏓᏆᏠᏍᎦ	[dà:gwadlo:sga]  (he is) (1st/present continuous) /ced/
confronted with it	ᏚᏠᏒᎢ	[dù:dlo:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
confronted with it	ᏚᏠᏍᎪᎢ	[dù:dlo:sgó:ʔi]  (he is) (3rd/habitual) /ced/
confronted with it	ᏗᏣᏠᎯ	[dijádló:hi]  (he is) (2nd/immediate) /ced/
confronted with it	ᏧᏠᎯᏍᏗ	[ju:dlo:hisdi]  (he is) (3rd/deverbal) /ced/
confusing	ᎤᎾᏦᏍᏗ	[u:najő:sdi]  (plural adj/adv) /ced/
confusing	ᏧᏦᏍᏗ	[ju:jő:sdi]  (plural adj/adv) /ced/
confusing	ᎤᏦᏍᏗ	[u:jő:sdi] (adj/adv) /ced/
conjurer	ᏗᏓᏁᏎᏍᎩ	[di:da:hne:se̋:sgi]  (single noun) /ced/
conjurer	ᏗᎾᏓᏁᏎᏍᎩ	[di:nada:hne:se̋:sgi]  (plural noun) /ced/
conjuring	ᏓᏓᏁᏎᎠ	[dà:da:hne:sé:ʔa]  (he is) (3rd/present continuous) /ced/
conjuring	ᏕᎦᏓᏁᏎᎠ	[de:gádà:ne:sé:ʔa]  (he is) (1st/present continuous) /ced/
conjuring	ᏚᏓᏁᏌᎥᎢ	[dù:da:hne:sá:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
conjuring	ᏓᏓᏁᏎᏍᎪᎢ	[dà:da:hne:sé:sgó:ʔi]  (he is) (3rd/habitual) /ced/
conjuring	ᏔᏓᏁᏌᎦ	[tadá:hne:saga]  (he is) (2nd/immediate) /ced/
conjuring	ᏧᏓᏁᏎᏍᏗ	[ju:da:hne:sè:sdi]  (he is) (3rd/deverbal) /ced/
considering	ᎠᏓᏅᏖᎯᎶᎠ	[à:danhtě:hí:loʔa]  (he is) (3rd/present continuous) /ced/
considering	ᎦᏓᏅᏖᎯᎶᎠ	[gada:nv̀:tě:hí:loʔa]  (he is) (1st/present continuous) /ced/
considering	ᎤᏓᏅᏖᎯᎶᎥᎢ	[ù:danhtě:hí:loʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
considering	ᎠᏓᏅᏖᎯᎶᏍᎪᎢ	[à:danhtě:hi:lò:sgó:ʔi]  (he is) (3rd/habitual) /ced/
considering	ᎭᏓᏅᏖᎯᎶᏣ	[hadanhte:hi:lǒ:ja]  (he is) (2nd/immediate) /ced/
considering	ᎤᏓᏅᏖᎯᎶᏍᏗ	[u:danhte:hi:lò:sdi]  (he is) (3rd/deverbal) /ced/
container	ᎠᏟᏍᏙᏗ	[ádlì:sdohdi]  (for liquid) (single noun) /ced/
container	ᏗᏟᏍᏙᏗ	[dǐ:dlì:sdohdi]  (for liquid) (plural noun) /ced/
container	ᎦᎳᏗᏍᏙᏗ	[gáladì:sdohdi]  (for a long object) (single noun) /ced/
container	ᏗᎦᎳᏗᏍᏙᏗ	[digáladì:sdohdi]  (for a long object) (plural noun) /ced/
container	ᎦᎵᏙᏗ	[gáhldohdi]  (single noun) /ced/
container	ᏗᎦᎵᏙᏗ	[digáhldohdi]  (plural noun) /ced/
container for something flexible	ᎦᎸᏙᏗ	[galv́:dohdi]  (single noun) /ced/
container for something flexible	ᏗᎦᎸᏙᏗ	[digalv́:dohdi]  (plural noun) /ced/
contaminated	ᎧᏁᏌᏝ	[kané:sahla]  (it is) (by visible foreign matter) (3rd/present continuous) /ced/
contaminated	ᎧᏁᏌᏠᎢ	[kané:sahló:ʔi]  (it is) (by visible foreign matter) (3rd/habitual) /ced/
contaminating it	ᎧᏁᏌᏢᏍᎦ	[kané:sahlv́sga]  (he is) (with visible foreign matter) (3rd/present continuous) /ced/
contaminating it	ᏥᏁᏌᏢᏍᎦ	[jì:né:sahlv́sga]  (he is) (with visible foreign matter) (1st/present continuous) /ced/
contaminating it	ᎤᏁᏌᏝᏅᎢ	[ù:hné:sahlánv́:ʔi]  (he is) (with visible foreign matter) (3rd/remote past) /ced/
contaminating it	ᎧᏁᏌᏢᏍᎪᎢ	[kané:sahlv́sgói]  (he is) (with visible foreign matter) (3rd/habitual) /ced/
contaminating it	ᎯᏁᏌᏢᎦ	[hihnè:sahlv̀:ga]  (he is) (with visible foreign matter) (2nd/immediate) /ced/
contaminating it	ᎤᏁᏌᏢᏗ	[u:hnè:sáhldi]  (he is) (with visible foreign matter) (3rd/deverbal) /ced/
contest	ᎠᎾᏓᎪᎾᏘᏗᏍᎬᎢ	[à:nada:go:natdǐ:sgv̋:ʔi]  (single noun) /ced/
conversing	ᏓᏟᏃᎮᎭ	[dà:hlino:héha]  (he is) (3rd/present continuous) /ced/
conversing	ᏕᎦᎵᏃᎮᎭ	[de:gálì:no:héha]  (he is) (1st/present continuous) /ced/
conversing	ᏚᏟᏃᎮᎸᎢ	[dù:hlino:hě:hlv́:ʔi]  (he is) (3rd/remote past) /ced/
conversing	ᏓᏟᏃᎮᏍᎪᎢ	[dà:hlino:hě:sgóʔi]  (he is) (3rd/habitual) /ced/
conversing	ᏔᏟᏃᎲᎳ	[tahlíno:hv:la]  (he is) (2nd/immediate) /ced/
conversing	ᏧᏟᏃᎮᏗ	[ju:hlino:hehdi]  (he is) (3rd/deverbal) /ced/
cooing	ᏂᎦᏪᎠ	[nigaweʔa]  (it is) (3rd/present continuous) /ced/
cooing	ᏂᏥᏪᎠ	[nijiweʔa]  (it is) (1st/present continuous) /ced/
cooing	ᏄᏪᏒᎢ	[nù:wè:sv̌:ʔi]  (it is) (3rd/remote past) /ced/
cooing	ᏂᎦᏪᏍᎪᎢ	[nigawè:sgó:ʔi]  (it is) (3rd/habitual) /ced/
cooing	ᏂᏫ	[hníwi]  (it is) (2nd/immediate) /ced/
cooing	ᎢᏳᏪᏍᏗ	[iyú:wè:sdi]  (it is) (3rd/deverbal) /ced/
cook	ᏗᏓᏍᏓᏴᎲᏍᎩ	[di:da:sdà:yv̌:hvsgi]  (single noun) /ced/
cook	ᏗᎾᏓᏍᏓᏴᎲᏍᎩ	[di:nada:sdà:yv̌:hvsgi]  (plural noun) /ced/
cook stove	ᎣᏏ ᎠᏓᏍᏓᏴᏗᎢ	[ó:si ada:sdàyhdi̋:ʔi]  (single noun) /ced/
cooking a meal	ᎠᏓᏍᏓᏴᎲᏍᎦ	[à:da:sdâ:yv:hv́:sga]  (she is) (3rd/present continuous) /ced/
cooking a meal	ᎦᏓᏍᏓᏴᎲᏍᎦ	[gadà:sdâ:yvhv́:sga]  (she is) (1st/present continuous) /ced/
cooking a meal	ᎤᏓᏍᏓᏴᏅᎢ	[ù:dà:sdâ:yv:hnv̌:ʔi]  (she is) (3rd/remote past) /ced/
cooking a meal	ᎠᏓᏍᏓᏴᎲᏍᎪᎢ	[à:da:sdâ:yv:hvsgó:ʔi]  (she is) (3rd/habitual) /ced/
cooking a meal	ᎭᏓᏍᏓᏴᎲᎦ	[hada:sdà:yv:hv̀:ga]  (she is) (2nd/immediate) /ced/
cooking a meal	ᎤᏓᏍᏓᏴᏗ	[u:da:sdàyhdi]  (she is) (3rd/deverbal) /ced/
cooking it	ᎬᏂᏍᏗᎭ	[gv:hnisdíha]  (he is) (a specific food) (3rd/present continuous) /ced/
cooking it	ᎬᏂᏍᏗᎭ	[gv̀:nisdíha]  (he is) (a specific food) (1st/present continuous) /ced/
cooking it	ᎤᏩᏂᏍᏔᏅᎢ	[ù:wa:hnistánv́:ʔi]  (he is) (a specific food) (3rd/remote past) /ced/
cooking it	ᎬᏂᏍᏗᏍᎪᎢ	[gv:hnisdǐ:sgóʔi]  (he is) (a specific food) (3rd/habitual) /ced/
cooking it	ᎲᏂᏍᏓ	[hv:hnisda]  (he is) (a specific food) (2nd/immediate) /ced/
cooking it	ᎤᏩᏂᏍᏙᏗ	[uwa:hnisdóhdi]  (he is) (a specific food) (3rd/deverbal) /ced/
cooking pan	ᎦᏖᏌᏗ	[ga:té:saʔdi]  (single noun) /ced/
cooking pan	ᏗᎦᏖᏌᏗ	[diga:té:saʔdi]  (plural noun) /ced/
cooperative labor	ᎦᏚᎩ	[ga:dú:gi]  (involving a community) (single noun) /ced/
